task_id,plan_id,bucket_id,assignee_ids,title,description,status,priority,due_date,tags,checklist,comments,attachments
t025,p002,b013,"u244,u291,u109",Migrate job runner to v18,Document the steps to run Monitoring integration in the new environment.,todo,3,,,[],[],[]
t026,p004,b016,u004,Logs,Coordinate with the platform team on Monitoring migration.,todo,3,2026-06-06,,[],[],[]
t027,p024,b084,"u269,u294,u118",Audit Kubernetes cluster security and policies,Document the steps to run Linux integration in the new environment.,todo,1,2026-05-22,"infrastructure,devops,aws",[],[],[]
t028,p027,b098,,Investigate nginx ingress flaky tests,Review the Kubernetes configuration across production and propose adjustments.,todo,3,,"infrastructure,terraform,reliability",[],[],[]
t029,p009,b029,"u245,u103,u118",Refactor,Document the steps to run Linux integration in the new environment.,todo,9,2026-03-28,"infrastructure,terraform",[],[],[]
t030,p039,b145,"u137,u186",Set up Spark cluster for platform team,Coordinate with the ML team on AWS migration.,todo,3,2026-08-30,,[],[],[]
t031,p037,b137,,Investigate event bus latency spike,Review the AWS configuration across production and propose adjustments.,todo,5,2026-07-15,,[],[],[]
t032,p007,b020,"u172,u153,u086",Update PostgreSQL configuration,Document the steps to run Kubernetes integration in the new environment.,todo,9,2026-08-10,"infrastructure,review",[],[],[]
t033,p017,b060,,Patch CVE in job runner,Review the Monitoring configuration across production and propose adjustments.,todo,5,2026-05-24,"infrastructure,aws,infrastructure",[],[],[]
t034,p048,b179,,Logs,Coordinate with the ML team on Monitoring migration.,todo,9,2026-06-19,,[],[],[]
t035,p013,b045,,Update monitoring stack configuration,Review the Kubernetes configuration across production and propose adjustments.,todo,5,2026-05-23,"infrastructure,terraform",[],[],[]
t036,p009,b027,,Refactor,Coordinate with the data team on Monitoring migration.,todo,9,2026-05-25,"infrastructure,reliability",[],[],[]
t037,p042,b155,,Update Spark cluster configuration,Document the steps to run Docker integration in the new environment.,todo,1,2026-07-12,"infrastructure,security",[],[],[]
t038,p042,b157,,Audit API gateway security and policies,Provision Linux resources for the upcoming launch and verify capacity.,todo,3,2026-09-01,,[],[],[]
t039,p014,b047,u281,Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy,Investigate why Docker usage spiked last week and produce a write-up.,todo,5,2026-07-16,,[],[],[]
t040,p016,b056,,Design and validate a phased migration plan for moving the monolithic billing service into the new microservices platform without exceeding the agreed maintenance window for end-customer-facing endpoints,Document the steps to run Kubernetes integration in the new environment.,todo,3,2026-08-26,,[],[],[]
t041,p030,b111,,Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy,Coordinate with the data team on Docker migration.,todo,3,2026-05-24,"infrastructure,review",[],[],[]
t042,p010,b034,,Migrate payment service to v1.7,Coordinate with the ML team on Linux migration.,todo,9,2026-08-26,,[],[],[]
t043,p025,b090,u123,Update PostgreSQL configuration,Document the steps to run Terraform integration in the new environment.,todo,9,2026-06-12,,[],[],[]
t044,p014,b049,,Migrate event bus to v15,Coordinate with the ML team on Terraform migration.,todo,9,2026-05-05,,[],[],[]
t045,p009,b029,"u297,u157,u030",Audit Kubernetes cluster security and policies,Provision Terraform resources for the upcoming launch and verify capacity.,todo,3,2026-05-24,"infrastructure,devops,monitoring",[],[],[]
t046,p038,b139,"u277,u066",Logs,Investigate why Linux usage spiked last week and produce a write-up.,todo,9,2026-06-08,"infrastructure,terraform",[],[],[]
t047,p032,b116,,Review job runner architecture,Document the steps to run Security integration in the new environment.,todo,1,,"infrastructure,security,kubernetes",[],[],[]
t048,p015,b052,,Set up Kafka for platform team,Provision AWS resources for the upcoming launch and verify capacity.,todo,9,2026-07-11,,[],[],[]
t049,p050,b187,"u020,u014",Logs,Provision Terraform resources for the upcoming launch and verify capacity.,todo,9,,"infrastructure,terraform",[],[],[]
t050,p023,b083,,Audit Kubernetes cluster security and policies,Provision Kubernetes resources for the upcoming launch and verify capacity.,todo,5,2026-06-17,"infrastructure,terraform",[],[],[]
t051,p046,b172,"u227,u231,u071",Patch CVE in search index,Review the Kubernetes configuration across production and propose adjustments.,todo,3,2026-05-20,"infrastructure,monitoring",[],[],[]
t052,p026,b094,u162,Patch CVE in search index,Provision Terraform resources for the upcoming launch and verify capacity.,todo,5,2026-06-16,"infrastructure,cost,kubernetes",[],[],[]
t053,p020,b070,"u251,u275",Audit Kubernetes cluster security and policies,Investigate why Kubernetes usage spiked last week and produce a write-up.,todo,5,2026-06-08,"infrastructure,review,aws",[],[],[]
t054,p024,b086,,Cleanup,Coordinate with the ML team on Kubernetes migration.,todo,1,2026-09-01,,[],[],[]
t055,p026,b092,,Roll out audit log viewer to canary,Document the steps to run Security integration in the new environment.,todo,3,2026-06-03,"infrastructure,monitoring",[],[],[]
t056,p012,b039,,Design and validate a phased migration plan for moving the monolithic billing service into the new microservices platform without exceeding the agreed maintenance window for end-customer-facing endpoints,Review the Security configuration across production and propose adjustments.,todo,9,2026-06-13,"infrastructure,aws,cloud",[],[],[]
t057,p036,b134,"u300,u233",,Provision Kubernetes resources for the upcoming launch and verify capacity.,todo,1,2026-07-24,,[],[],[]
t058,p043,b161,,Logs,Review the Security configuration across production and propose adjustments.,todo,3,2026-06-07,,[],[],[]
t059,p030,b110,,Update PostgreSQL configuration,Document the steps to run AWS integration in the new environment.,todo,9,2026-06-16,"infrastructure,review,monitoring",[],[],[]
t060,p030,b110,,Bugfix,Document the steps to run Kubernetes integration in the new environment.,todo,1,2026-04-03,"infrastructure,aws,monitoring",[],[],[]
t061,p022,b079,,Document payment service runbook,Document the steps to run Security integration in the new environment.,todo,3,2026-05-31,,[],[],[]
t062,p028,b101,"u212,u140,u040",Investigate event bus flaky tests,Provision Monitoring resources for the upcoming launch and verify capacity.,todo,1,2026-06-15,"infrastructure,monitoring",[],[],[]
t063,p029,b105,u240,Docs,Provision Linux resources for the upcoming launch and verify capacity.,todo,1,2026-07-19,"infrastructure,reliability,monitoring",[],[],[]
t064,p041,b150,,Document payment service runbook,Review the Monitoring configuration across production and propose adjustments.,todo,5,2026-02-07,,[],[],[]
t065,p003,b015,u010,Set up Redis for data team,Review the Kubernetes configuration across production and propose adjustments.,todo,5,2026-09-10,,[],[],[]
t066,p028,b102,"u202,u079",Review search index architecture,Investigate why AWS usage spiked last week and produce a write-up.,todo,1,2026-09-06,,[],[],[]
t067,p042,b154,"u068,u195",Refactor,Provision Terraform resources for the upcoming launch and verify capacity.,todo,3,2026-06-15,,[],[],[]
t068,p043,b161,"u033,u150,u184",Set up Redis for ML team,Investigate why Monitoring usage spiked last week and produce a write-up.,todo,9,2026-07-11,"infrastructure,cloud",[],[],[]
t069,p048,b179,"u070,u216",Migrate nginx ingress to v18,Investigate why Docker usage spiked last week and produce a write-up.,todo,1,2026-09-02,"infrastructure,cost",[],[],[]
t070,p041,b151,,Logs,Coordinate with the data team on Kubernetes migration.,todo,3,2026-06-16,"infrastructure,infrastructure",[],[],[]
t071,p041,b153,"u110,u280,u221",Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy,Provision Security resources for the upcoming launch and verify capacity.,todo,1,2026-06-01,"infrastructure,security,monitoring",[],[],[]
t072,p012,b042,,Update Redis configuration,Coordinate with the data team on Terraform migration.,todo,3,2026-06-04,,[],[],[]
t073,p024,b086,,Roll out cost report to canary,Coordinate with the backend team on Monitoring migration.,todo,9,2026-05-21,"infrastructure,monitoring",[],[],[]
t074,p031,b114,"u121,u235",Audit CI pipeline security and policies,Review the Monitoring configuration across production and propose adjustments.,todo,9,2026-04-08,"infrastructure,infrastructure",[],[],[]
t075,p045,b167,"u213,u299,u053",Patch CVE in search index,Provision Terraform resources for the upcoming launch and verify capacity.,todo,3,2026-06-05,"infrastructure,aws,monitoring",[],[],[]
t076,p023,b080,"u050,u169,u033",Patch CVE in payment service,Coordinate with the platform team on AWS migration.,todo,1,2026-09-12,,[],[],[]
t077,p040,b148,,Roll out feature flag dashboard to staging,Review the Linux configuration across production and propose adjustments.,todo,5,2026-05-21,"infrastructure,cloud,devops",[],[],[]
t078,p039,b143,,Update Kafka configuration,Coordinate with the backend team on AWS migration.,todo,9,2026-06-09,,[],[],[]
t079,p044,b163,,Logs,Review the Monitoring configuration across production and propose adjustments.,todo,1,2026-05-20,"infrastructure,reliability,terraform",[],[],[]
t080,p049,b182,"u020,u049,u210",Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy,Coordinate with the backend team on Docker migration.,todo,3,2026-09-03,"infrastructure,cloud,security",[],[],[]
t081,p002,b014,"u262,u286,u087",Patch CVE in auth gateway,Investigate why Security usage spiked last week and produce a write-up.,todo,5,2026-06-15,,[],[],[]
t082,p026,b095,"u251,u073",Design and validate a phased migration plan for moving the monolithic billing service into the new microservices platform without exceeding the agreed maintenance window for end-customer-facing endpoints,Coordinate with the platform team on Kubernetes migration.,todo,1,2026-06-19,"infrastructure,cloud",[],[],[]
t083,p006,b012,,Logs,Provision Monitoring resources for the upcoming launch and verify capacity.,todo,5,2026-07-04,"infrastructure,reliability",[],[],[]
t084,p030,b109,"u035,u090",Bugfix,Investigate why Security usage spiked last week and produce a write-up.,todo,3,2026-06-16,"infrastructure,aws",[],[],[]
t085,p020,b072,"u102,u139",Set up PostgreSQL for data team,Investigate why AWS usage spiked last week and produce a write-up.,todo,5,2026-05-29,"infrastructure,cost,infrastructure",[],[],[]
t086,p019,b068,u003,Audit Kubernetes cluster security and policies,Document the steps to run AWS integration in the new environment.,todo,5,2026-05-24,,[],[],[]
t087,p024,b084,"u237,u113",Roll out audit log viewer to staging,Coordinate with the platform team on Docker migration.,todo,5,2026-02-05,,[],[],[]
t088,p050,b187,,Set up Redis for data team,Investigate why AWS usage spiked last week and produce a write-up.,todo,9,2026-06-06,"infrastructure,reliability",[],[],[]
t089,p005,b017,,Cleanup,Investigate why Kubernetes usage spiked last week and produce a write-up.,todo,9,2026-06-23,,[],[],[]
t090,p023,b080,"u019,u178",Update Kafka configuration,Investigate why Security usage spiked last week and produce a write-up.,todo,5,2026-07-31,,[],[],[]
t091,p005,b010,,Document search index runbook,Provision AWS resources for the upcoming launch and verify capacity.,todo,5,2026-05-25,"infrastructure,security,kubernetes",[],[],[]
t092,p032,b116,,Set up Kafka for backend team,Review the Kubernetes configuration across production and propose adjustments.,todo,1,2026-05-30,,[],[],[]
t093,p003,b005,,Roll out feature flag dashboard to production,Coordinate with the backend team on Linux migration.,todo,3,2026-05-24,,[],[],[]
t094,p021,b075,u019,Document job runner runbook,Coordinate with the data team on Terraform migration.,todo,5,2026-07-20,,[],[],[]
t095,p044,b165,"u267,u214,u249",Logs,Coordinate with the backend team on Kubernetes migration.,todo,3,2026-05-26,"infrastructure,kubernetes",[],[],[]
t096,p011,b035,,Document payment service runbook,Investigate why Linux usage spiked last week and produce a write-up.,todo,5,2026-09-17,"infrastructure,aws",[],[],[]
t097,p025,b088,"u202,u073",Update Spark cluster configuration,Document the steps to run Terraform integration in the new environment.,todo,9,2026-06-14,"infrastructure,review,cost",[],[],[]
t098,p037,b138,,Patch CVE in payment service,Review the Monitoring configuration across production and propose adjustments.,todo,5,2026-06-12,"infrastructure,reliability,review",[],[],[]
t099,p032,b117,"u249,u236",,Coordinate with the ML team on AWS migration.,todo,1,2026-07-28,,[],[],[]
t100,p019,b066,,Migrate search index to v15,Investigate why Monitoring usage spiked last week and produce a write-up.,todo,9,2026-08-27,"infrastructure,security,monitoring",[],[],[]
t101,p024,b087,,Investigate search index latency spike,Document the steps to run Terraform integration in the new environment.,todo,5,2026-07-29,"infrastructure,aws",[],[],[]
t102,p008,b023,,Audit Kubernetes cluster security and policies,Document the steps to run Terraform integration in the new environment.,todo,1,2026-05-26,"infrastructure,review",[],[],[]
t103,p034,b125,u070,Audit CI pipeline security and policies,Investigate why Security usage spiked last week and produce a write-up.,todo,3,2026-08-05,,[],[],[]
t104,p021,b075,"u040,u211",Coordinate with the security task force to audit the entire IAM policy surface across all AWS accounts and produce a prioritized remediation backlog based on least-privilege deviations,Review the Security configuration across production and propose adjustments.,todo,9,,,[],[],[]
t105,p046,b170,"u143,u292,u128",,Investigate why Monitoring usage spiked last week and produce a write-up.,todo,5,2026-07-11,,[],[],[]
t106,p032,b117,"u038,u221",Docs,Review the Linux configuration across production and propose adjustments.,todo,3,2026-07-08,"infrastructure,reliability",[],[],[]
t107,p044,b163,u218,Investigate payment service memory leak,Investigate why Terraform usage spiked last week and produce a write-up.,todo,5,2026-08-04,"infrastructure,kubernetes,infrastructure",[],[],[]
t108,p001,b001,,Patch CVE in job runner,Investigate why Monitoring usage spiked last week and produce a write-up.,todo,3,2026-08-31,,[],[],[]
t109,p025,b090,"u078,u288",Document event bus runbook,Coordinate with the backend team on Terraform migration.,todo,5,2026-06-14,,[],[],[]
t110,p026,b092,,Migrate search index to v15,Coordinate with the platform team on Linux migration.,todo,9,2026-07-07,"infrastructure,aws",[],[],[]
t111,p012,b039,"u107,u149",Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy,Coordinate with the platform team on Monitoring migration.,todo,1,2026-07-05,"infrastructure,aws,kubernetes",[],[],[]
t112,p007,b019,"u205,u020",Logs,Provision Linux resources for the upcoming launch and verify capacity.,todo,3,,"infrastructure,infrastructure",[],[],[]
t113,p003,b006,u010,Tests,Document the steps to run Security integration in the new environment.,todo,5,2026-06-10,"infrastructure,aws,cloud",[],[],[]
t114,p015,b052,,Logs,Review the AWS configuration across production and propose adjustments.,todo,3,2026-02-18,,[],[],[]
t115,p043,b160,,Investigate event bus memory leak,Document the steps to run Terraform integration in the new environment.,todo,3,2026-07-05,"infrastructure,review,infrastructure",[],[],[]
t116,p012,b042,,Design and validate a phased migration plan for moving the monolithic billing service into the new microservices platform without exceeding the agreed maintenance window for end-customer-facing endpoints,Investigate why Kubernetes usage spiked last week and produce a write-up.,todo,3,2026-06-12,,[],[],[]
t117,p043,b161,"u167,u095,u293",Review search index architecture,Review the Security configuration across production and propose adjustments.,todo,3,2026-09-01,"infrastructure,aws,devops",[],[],[]
t118,p017,b060,,Roll out audit log viewer to canary,Document the steps to run Security integration in the new environment.,todo,3,,,[],[],[]
t119,p045,b168,u116,Roll out feature flag dashboard to staging,Coordinate with the ML team on Docker migration.,todo,9,2026-06-24,"infrastructure,terraform,cost",[],[],[]
t120,p028,b100,u178,Set up monitoring stack for backend team,Investigate why Kubernetes usage spiked last week and produce a write-up.,todo,9,2026-06-12,"infrastructure,monitoring",[],[],[]
t121,p027,b099,"u004,u038,u261",Design and validate a phased migration plan for moving the monolithic billing service into the new microservices platform without exceeding the agreed maintenance window for end-customer-facing endpoints,Coordinate with the data team on Terraform migration.,todo,9,2026-06-02,,[],[],[]
t122,p018,b065,"u286,u246",Bugfix,Provision Monitoring resources for the upcoming launch and verify capacity.,todo,3,2026-05-20,"infrastructure,cost,devops",[],[],[]
t123,p025,b091,u272,Document search index runbook,Review the Linux configuration across production and propose adjustments.,todo,9,2026-02-14,,[],[],[]
t124,p003,b015,u010,Set up monitoring stack for data team,Provision Security resources for the upcoming launch and verify capacity.,todo,9,2026-06-05,,[],[],[]
t125,p035,b128,"u142,u187,u061",Patch CVE in auth gateway,Investigate why AWS usage spiked last week and produce a write-up.,todo,5,2026-08-23,"infrastructure,cloud,infrastructure",[],[],[]
t126,p049,b184,,Bugfix,Review the Docker configuration across production and propose adjustments.,todo,3,2026-08-09,,[],[],[]
t127,p046,b171,,Bugfix,Coordinate with the data team on Monitoring migration.,todo,3,2026-06-04,"infrastructure,aws",[],[],[]
t128,p018,b063,,Patch CVE in job runner,Provision Security resources for the upcoming launch and verify capacity.,todo,1,2026-05-26,,[],[],[]
t129,p025,b091,"u202,u283",Patch CVE in nginx ingress,Provision Terraform resources for the upcoming launch and verify capacity.,todo,9,2026-03-27,"infrastructure,security,terraform",[],[],[]
t130,p006,b011,,Migrate event bus to v18,Review the Security configuration across production and propose adjustments.,todo,1,,,[],[],[]
t131,p003,b006,u010,Review auth gateway architecture,Review the Docker configuration across production and propose adjustments.,todo,1,2026-05-28,,[],[],[]
t132,p040,b149,,Cleanup,Provision Docker resources for the upcoming launch and verify capacity.,todo,1,2026-05-21,,[],[],[]
t133,p024,b084,,Investigate search index cost regression,Investigate why Kubernetes usage spiked last week and produce a write-up.,todo,3,2026-05-20,,[],[],[]
t134,p032,b117,,Set up Kafka for platform team,Provision AWS resources for the upcoming launch and verify capacity.,todo,9,2026-06-08,"infrastructure,devops",[],[],[]
t135,p007,b020,u243,Roll out feature flag dashboard to canary,Provision Security resources for the upcoming launch and verify capacity.,todo,1,2026-06-06,"infrastructure,kubernetes,monitoring",[],[],[]
t136,p021,b075,"u174,u111",Update PostgreSQL configuration,Provision Kubernetes resources for the upcoming launch and verify capacity.,todo,1,2026-09-08,"infrastructure,infrastructure,review",[],[],[]
t137,p001,b001,,Set up Kafka for backend team,Investigate why Docker usage spiked last week and produce a write-up.,todo,1,2026-06-17,"infrastructure,cost,review",[],[],[]
t138,p029,b104,,Roll out audit log viewer to canary,Review the Terraform configuration across production and propose adjustments.,todo,9,2026-07-17,"infrastructure,cost,devops",[],[],[]
t139,p049,b185,,Logs,Investigate why NLP usage spiked last week and produce a write-up.,in progress,3,2026-07-21,"frontend,design-system,react",[],[],[]
t140,p035,b127,,Roll out feature flag dashboard to production,Coordinate with the ML team on Terraform migration.,todo,3,2026-07-24,,[],[],[]
t141,p023,b083,,Set up Spark cluster for backend team,Provision Node.js resources for the upcoming launch and verify capacity.,in progress,1,2026-05-28,,[],[],[]
t142,p006,b011,,Logs,Document the steps to run Linux integration in the new environment.,done,5,2026-08-31,"infrastructure,security",[],[],[]
t143,p005,b010,"u013,u014",Audit API gateway security and policies,Document the steps to run Kubernetes integration in the new environment.,todo,1,,"infrastructure,monitoring",[],[],[]
t144,p020,b071,"u150,u085",Logs,Provision Security resources for the upcoming launch and verify capacity.,todo,5,2026-05-20,"infrastructure,cloud",[],[],[]
t145,p043,b158,"u023,u297,u127",Bugfix,Provision Security resources for the upcoming launch and verify capacity.,done,1,2026-08-23,"infrastructure,aws",[],[],[]
t146,p016,b058,"u215,u288,u142",Roll out cost report to production,Document the steps to run Docker integration in the new environment.,in progress,9,2026-07-02,"infrastructure,review,monitoring",[],[],[]
t147,p023,b082,,Set up PostgreSQL for ML team,Coordinate with the platform team on Node.js migration.,in progress,1,2026-08-19,,[],[],[]
t148,p044,b164,,Design and validate a phased migration plan for moving the monolithic billing service into the new microservices platform without exceeding the agreed maintenance window for end-customer-facing endpoints,Document the steps to run ML integration in the new environment.,done,3,2026-06-12,,[],[],[]
t149,p014,b049,,Coordinate with the security task force to audit the entire IAM policy surface across all AWS accounts and produce a prioritized remediation backlog based on least-privilege deviations,Review the Kubernetes configuration across production and propose adjustments.,done,1,2026-05-28,,[],[],[]
t150,p025,b090,,Cleanup,Provision Docker resources for the upcoming launch and verify capacity.,done,1,,,[],[],[]
t151,p024,b086,u104,Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy,Investigate why PostgreSQL usage spiked last week and produce a write-up.,todo,1,2026-02-08,"design-system,react",[],[],[]
t152,p045,b167,u259,Migrate search index to v2.0,Review the Redis configuration across production and propose adjustments.,todo,5,2026-01-31,,[],[],[]
t153,p050,b188,"u175,u008,u089",Update Spark cluster configuration,Document the steps to run Kubernetes integration in the new environment.,done,1,2026-08-25,,[],[],[]
t154,p001,b001,,Refactor,Coordinate with the ML team on Security migration.,done,5,2026-03-11,"infrastructure,monitoring",[],[],[]
t155,p014,b048,"u245,u251",Review payment service architecture,Review the NLP configuration across production and propose adjustments.,todo,5,2026-05-22,"documentation,mobile",[],[],[]
t156,p048,b180,,Review job runner architecture,Document the steps to run PostgreSQL integration in the new environment.,in progress,1,2026-05-24,,[],[],[]
t157,p036,b132,,,Review the PostgreSQL configuration across production and propose adjustments.,todo,9,2026-07-13,,[],[],[]
t158,p050,b186,"u101,u031,u122",Migrate search index to v2.0,Investigate why React usage spiked last week and produce a write-up.,done,1,2026-05-28,,[],[],[]
t159,p014,b048,,,Review the Kubernetes configuration across production and propose adjustments.,in progress,9,2026-06-18,,[],[],[]
t160,p012,b042,,Audit CI pipeline security and policies,Provision Kubernetes resources for the upcoming launch and verify capacity.,done,9,2026-06-16,"infrastructure,security,monitoring",[],[],[]
t161,p028,b100,"u210,u150",Investigate search index timeouts,Investigate why Redis usage spiked last week and produce a write-up.,done,9,2026-06-04,"qa,react",[],[],[]
t162,p014,b049,"u059,u017",Roll out cost report to staging,Investigate why Terraform usage spiked last week and produce a write-up.,done,1,,,[],[],[]
t163,p010,b031,,Set up Kafka for data team,Investigate why TypeScript usage spiked last week and produce a write-up.,in progress,3,2026-07-21,,[],[],[]
t164,p012,b042,u250,Migrate payment service to v1.7,Investigate why Kubernetes usage spiked last week and produce a write-up.,done,1,2026-08-14,"infrastructure,devops,cost",[],[],[]
t165,p046,b173,,Refactor,Coordinate with the data team on Terraform migration.,todo,9,2026-06-02,,[],[],[]
t166,p001,b004,,Review auth gateway architecture,Document the steps to run Terraform integration in the new environment.,todo,9,2026-07-17,"infrastructure,reliability",[],[],[]
t167,p040,b146,"u068,u217,u073",Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy,Provision ML resources for the upcoming launch and verify capacity.,todo,1,2026-06-15,,[],[],[]
t168,p019,b069,"u252,u160",Migrate event bus to v1.7,Coordinate with the data team on Node.js migration.,done,5,2026-06-20,,[],[],[]
t169,p012,b041,,Roll out feature flag dashboard to production,Provision Node.js resources for the upcoming launch and verify capacity.,in progress,3,2026-06-11,,[],[],[]
t170,p049,b184,"u097,u229,u121",Investigate job runner latency spike,Document the steps to run ML integration in the new environment.,in progress,5,2026-06-23,,[],[],[]
t171,p045,b168,"u260,u239",Patch CVE in event bus,Review the AWS configuration across production and propose adjustments.,done,3,2026-04-07,,[],[],[]
t172,p034,b124,u031,Update monitoring stack configuration,Review the Security configuration across production and propose adjustments.,in progress,3,2026-06-29,,[],[],[]
t173,p035,b128,u246,Migrate auth gateway to v18,Coordinate with the ML team on Monitoring migration.,done,9,2026-06-08,,[],[],[]
t174,p035,b130,,Set up PostgreSQL for platform team,Coordinate with the platform team on Airflow migration.,in progress,5,2026-07-18,,[],[],[]
t175,p022,b076,u091,Migrate search index to v15,Review the Security configuration across production and propose adjustments.,done,1,2026-06-10,,[],[],[]
t176,p031,b114,,Investigate and document the root cause of the intermittent 502 errors observed during the morning peak traffic window in the production payment gateway and propose a remediation plan covering load balancing strategy,Investigate why Airflow usage spiked last week and produce a write-up.,todo,3,2026-09-14,,[],[],[]
t177,p025,b091,u072,Roll out feature flag dashboard to production,Provision Next.js resources for the upcoming launch and verify capacity.,in progress,5,2026-07-22,,[],[],[]
t178,p029,b104,u209,Review auth gateway architecture,Document the steps to run Spark integration in the new environment.,in progress,5,2026-04-06,"frontend,documentation,qa",[],[],[]
t179,p019,b066,"u018,u073",Set up monitoring stack for ML team,Document the steps to run Airflow integration in the new environment.,done,5,2026-05-28,,[],[],[]
t180,p020,b071,,Update Kafka configuration,Coordinate with the backend team on TypeScript migration.,done,3,2026-07-23,"design-system,mobile,documentation",[],[],[]
t181,p003,b015,,Refactor,Review the Security configuration across production and propose adjustments.,in progress,3,2026-05-20,"infrastructure,monitoring,terraform",[],[],[]
